""	5
"accident de marchandise dangereuse"	6
"accident de personne"	24
"accident de voyageur"	4
"accident du travail"	52
"accostage brutal"	8
"acte de malveillance"	1
"acte de malveillance"	15
"appareil de voie mal dispos\u00e9"	10
"arr\u00eat hors de quai de tout ou partie d\u2019un train de voyageurs"	8
"arr\u00eat prolong\u00e9 d\u2019un train de voyageurs dans un tunnel de plus de 1 km"	1
"autorisation de d\u00e9part sans autorisation"	1
"autorisation de franchissement sans v\u00e9rification"	10
"autre"	1
"avarie au mat\u00e9riel"	1
"avarie mat\u00e9riel roulant"	10
"bo\u00eete chaude"	14
"chute de voyageur"	4
"circulation d\u2019un transport exceptionnel sans annonce"	1
"circulation de v\u00e9hicule non autoris\u00e9e"	14
"circulation sans autorisation"	1
"collision avec enfoncement de heurtoir"	27
"collision contre obstacle \u00e0 un passage \u00e0 niveau"	46
"collision contre obstacle et deraillement"	1
"collision contre obstacle"	73
"collision contre un obstacle \u00e0 un passage \u00e0 niveau"	11
"collision entre trains ou \u00e9l\u00e9ments de trains"	47
"collision par prise en \u00e9charpe"	13
"collision"	22
"composition non conforme"	10
"dvl"	2
"d\u00e9faillance voie"	1
"d\u00e9faillance d'ouvrage"	9
"d\u00e9faillance mat\u00e9riel"	1
"d\u00e9faillance voie"	117
"d\u00e9faut ayant conduit \u00e0 un risque grave"	11
"d\u00e9faut d\u2019immobilisation"	1
"d\u00e9faut g\u00e9om\u00e9trie voie"	69
"d\u00e9faut sur aiguille"	1
"d\u00e9gagement de fum\u00e9e sur mat\u00e9riel roulant"	19
"d\u00e9gagement intempestif du domaine ferm\u00e9"	17
"d\u00e9livrance d\u2019un bulletin de franchissement sans v\u00e9rification"	8
"d\u00e9part sans autorisation"	53
"d\u00e9passement de vitesse sup\u00e9rieur \u00e0 40km/h"	73
"d\u00e9raillement sans engagement de la voie principale"	185
"d\u00e9raillement"	105
"d\u00e9rangement des installations de s\u00e9curit\u00e9"	6
"d\u00e9rive et collision"	1
"d\u00e9rive"	73
"d\u00e9shuntage"	15
"d\u00e9sordre d'ouvrage en terre"	1
"d\u00e9sordre d\u2019ouvrage d'art"	2
"d\u00e9sordre d\u2019ouvrage en terre"	11
"d\u00e9sordre ouvrage d\u2019art"	4
"electrisation"	19
"electrocution"	1
"engagement de gabarit avec collision"	1
"engagement de gabarit suite \u00e0 d\u00e9semparement de pi\u00e8ce"	25
"engagement de gabarit"	3
"engagement intempestif d\u2019une circulation sous cat\u00e9naire consign\u00e9e"	3
"engagement intempestif d\u2019une circulation sur une voie prot\u00e9g\u00e9e"	30
"erreur d\u2019itin\u00e9raire"	9
"erreur de proc\u00e9dure"	137
"erreur grave de proc\u00e9dure"	17
"ev\u00e8nement de s\u00e9curit\u00e9 sans boucle de rattrapage"	1
"ev\u00e9nement de s\u00e9curit\u00e9 sans boucle de rattrapage"	1
"evolution vers une voie occup\u00e9e"	1
"exp\u00e9dition sans ordre"	37
"formation intempestive d'un itin\u00e9raire"	1
"franchissement de signal"	2
"franchissement de signal"	277
"frein serr\u00e9"	4
"glissement de terrain"	1
"heurt au croisement"	8
"hourcade"	1
"incendie dans un train"	53
"incendie en gare"	1
"incident cat\u00e9naire"	45
"incident de frein"	4
"incident de marchandise dangereuse"	12
"incident grave de passage \u00e0 niveau"	5
"incident grave de signalisation"	33
"incident grave"	14
"insuffisance de freinage"	4
"intemp\u00e9ries"	19
"manoeuvre vers non \u00e9lectrifi\u00e9e"	1
"marchandises dangereuses"	5
"mati\u00e8res dangereuses"	1
"mati\u00e8res dangereuses"	11
"mauvaise mat\u00e9rialisation du point de d\u00e9gagement"	1
"mise en \u0153uvre de travaux en dehors du domaine ferm\u00e9"	26
"modification d'itin\u00e9raire sous un train"	1
"modification intempestive d'itin\u00e9raire"	1
"mouvement en sens inverse du sens normal"	5
"nez \u00e0 nez"	1
"non alimentation de la conduite principale"	1
"non conformit\u00e9 du mat\u00e9riel roulant"	10
"non mise en protection"	10
"non respect du point d'arr\u00eat"	1
"non respect du point d\u2019arr\u00eat"	7
"obstacle sur voie"	1
"ouverture par un tiers d\u2019une porte de tgv en marche"	3
"ouverture par un tiers d\u2019une porte en marche"	1
"p\u00e9n\u00e9tration intempestive sur domaine ferm\u00e9"	12
"p\u00e9remption du potentiel kilom\u00e9trique"	2
"perte d\u2019organe du mat\u00e9riel roulant"	36
"point limite d\u2019un pantographe d\u00e9pass\u00e9 par une circulation \u00e9lectrique"	11
"porte non v\u00e9rroull\u00e9e"	1
"porte ouverte en ligne"	90
"pr\u00e9sence d'obstacle sur voie"	2
"pr\u00e9sence de voyageurs sur voie"	3
"quasi accident de travail"	6
"r\u00e9alimentation intempestive des cat\u00e9naires"	10
"r\u00e9ception intempestive sur voie occup\u00e9e"	69
"r\u00e9ception sur voie secondaire"	1
"rat\u00e9 de fermeture \u00e0 un passage \u00e0 niveau"	72
"reception sur voie non-electrifi\u00e9e"	2
"restitution dfv sans d\u00e9gagement"	1
"restitution d'une demande de fermeture de voie"	1
"rupture d'attelage"	2
"sortie intempestive ou engagement d\u2019un domaine ferm\u00e9"	40
"talonnage d\u2019aiguille ou bivoie"	120
"type"	1
"accident du travail"	4
"d\u00e9rive"	1
"incident cat\u00e9naire"	1
"incident grave de signalisation"	3
"intemp\u00e9ries"	1
"nez \u00e0 nez"	1
"porte ouverte en ligne"	2
"reception sur voie non \u00e9quip\u00e9e"	1
"robinet de suspension isol\u00e9"	1
